source,relation,target,source_type,target_type
line of sight,usesConfiguration,cylindrical,Scientific Experiment,Configuration
wavelengths,hasUnit,nm,Quantity,Unit
heater,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
MCCRA,measures,50 MeV,Plasma Source,Quantity
area,hasUnit,mm 2,Quantity,Unit
laser diagnostics,hasPlasmaSource,barrier discharges,Scientific Experiment,Plasma Source
mbar,unit_of,reduced electric field strength,Unit,Quantity
DBD,measures_hasUnit,ns pulsed,Plasma Source,Unit
observed,investigates,transitions to chaotic states,Scientific Experiment,Physical Effect
reactor,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
experiments,usesDevice_Device_measures,conversion degrees,Scientific Experiment,Quantity
reactor,usedIn_ResearchActivity_investigates,particle charging,Diagnostic Device,Physical Effect
generation circuit,usedIn_ResearchActivity_hasPlasmaSource,abnormal discharge,Diagnostic Device,Plasma Source
chamber,usedIn_ResearchActivity_hasMedium,precursor gas,Diagnostic Device,Medium
control measurements,hasMedium,He N 2 mixtures,Scientific Experiment,Medium
µs,unit_of,power,Unit,Quantity
iCCD single shots,usesDevice_Device_measures,current,Scientific Experiment,Quantity
laser,measures,density,Diagnostic Device,Quantity
experimental condition,hasMedium,O 2 impurity,Scientific Experiment,Medium
welding and cutting,measures,pressure,Plasma Source,Quantity
DBD,measures,conversion degree,Plasma Source,Quantity
generator,usedIn_ResearchActivity_hasPlasmaSource,source,Diagnostic Device,Plasma Source
positive high voltage potential,measures,potential,Plasma Source,Quantity
vol,unit_of,gas flow rate,Unit,Quantity
quasi neutral,generatedBy_measures,electron density,Plasma Study,Quantity
electrode,measures,distance,Diagnostic Device,Quantity
tube,usedIn_ResearchActivity_investigates,diffusing,Diagnostic Device,Physical Effect
plasma processing unit,measures,angle range,Diagnostic Device,Quantity
non constricted,generatedBy_measures,emission in,Plasma Study,Quantity
cm s 1,unit_of,discharge volume,Unit,Quantity
energies,hasUnit,Td,Quantity,Unit
discharge channel,generatedBy_measures,current maximum,Plasma Study,Quantity
single shots,usesDevice_Device_measures,current characteristics,Scientific Experiment,Quantity
high resolution,usesDevice_Device_measures,transferred charge,Scientific Experiment,Quantity
fuel injection device,measures,flow,Diagnostic Device,Quantity
accelerator,measures,heat,Diagnostic Device,Quantity
0 1 vol O 2 in N 2,used_in,DBDs,Medium,Plasma Source
1vol,unit_of,velocity,Unit,Quantity
plasma source,measures,energy,Plasma Source,Quantity
DBD,measures,power,Plasma Source,Quantity
measurement,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
kHz,unit_of,half period,Unit,Quantity
accelerator,measures,area,Diagnostic Device,Quantity
streak images,hasPlasmaSource,APTDs,Scientific Experiment,Plasma Source
current pulse measurements,usesDevice_Device_measures,current pulse,Scientific Experiment,Quantity
observed,investigates,discharge poisoning,Scientific Experiment,Physical Effect
half cycles,hasUnit,bar,Quantity,Unit
gun,usedToDiagnose_MaterialEntity_hasApplicationField,welding,Diagnostic Device,Application Field
vacuum chamber,usedIn_ResearchActivity_hasPlasmaSource,radiofrequency,Diagnostic Device,Plasma Source
quasineutrality,generatedBy_measures,electric field,Plasma Study,Quantity
reactor electrodes,generatedBy_measures,work,Plasma Study,Quantity
a toroidal plasma chamber,usedIn_ResearchActivity_hasPlasmaSource,magnetic field,Diagnostic Device,Plasma Source
amplifier,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
He N 2,used_in,APGD,Medium,Plasma Source
an electrical power source,usedIn_ResearchActivity_investigates,thermal,Diagnostic Device,Physical Effect
temporal resolution,investigates,temporal discharge jitter,Scientific Experiment,Physical Effect
measured,usesDevice_Device_measures,intensity distribution,Scientific Experiment,Quantity
mbar,unit_of,electron density,Unit,Quantity
ADC,measures,time,Diagnostic Device,Quantity
electrical measurements,usesDevice_Device_measures,statistical distribution,Scientific Experiment,Quantity
jitter correction,investigates,temporal jitter of the MD occurrence,Scientific Experiment,Physical Effect
magnets,usedIn_ResearchActivity_investigates,phase,Diagnostic Device,Physical Effect
channel diameter,generatedBy_measures,diameter,Plasma Study,Quantity
reactor,measures,power,Diagnostic Device,Quantity
µJ,unit_of,area,Unit,Quantity
plasma generating unit,usedIn_ResearchActivity_hasPlasmaSource,direct current,Diagnostic Device,Plasma Source
current source,usedIn_ResearchActivity_hasPlasmaSource,arc torch,Diagnostic Device,Plasma Source
iCCD images,hasPlasmaSource_generates,transient,Scientific Experiment,Plasma Study
plasma reactor,usedIn_ResearchActivity_hasPlasmaSource,Non -thermal,Diagnostic Device,Plasma Source
discharge characteristics,generatedBy_measures,electron density,Plasma Study,Quantity
mm,unit_of,neutral gas density,Unit,Quantity
time integrated spectra,hasMedium,0 1 vol O 2 in N 2,Scientific Experiment,Medium
experiment,usesDevice_Device_measures,specific energy input,Scientific Experiment,Quantity
ZIROX SGM 7 4,measures_hasUnit,ppm,Diagnostic Device,Unit
mm,unit_of,E n,Unit,Quantity
APPARATUS,usedIn_ResearchActivity_investigates,CONVERSION,Diagnostic Device,Physical Effect
EPD,measures,-voltage,Diagnostic Device,Quantity
magnetohydrodynamic converter,usedIn_ResearchActivity_investigates,catalysis,Diagnostic Device,Physical Effect
linear accelerator system,measures,energies,Diagnostic Device,Quantity
emission structure,generatedBy_measures,voltage,Plasma Study,Quantity
experimentally investigated,usesDevice_Device_measures,falling rate,Scientific Experiment,Quantity
vol,unit_of,current waveform,Unit,Quantity
atmospheric pressure,generatedBy_measures,emission intensities,Plasma Study,Quantity
vacuum chamber,measures,neutron flux,Diagnostic Device,Quantity
lens,usedIn_ResearchActivity_hasPlasmaSource,first electrode,Diagnostic Device,Plasma Source
experiment,usesDevice_Device_measures,capacitance,Scientific Experiment,Quantity
DC,measures,-time,Plasma Source,Quantity
V,unit_of,delay,Unit,Quantity
control subsystem,usedIn_ResearchActivity_hasPlasmaSource,plasma generator,Diagnostic Device,Plasma Source
1 vol O 2 in N 2,used_in,DBDs,Medium,Plasma Source
sccm,unit_of,oxygen concentration,Unit,Quantity
combustion chamber,usedIn_ResearchActivity_hasMedium,air,Diagnostic Device,Medium
source,measures,heat,Plasma Source,Quantity
diagnostics,usesConfiguration,axially symmetric discharge cell,Scientific Experiment,Configuration
non -thermal,measures,electric potential,Plasma Source,Quantity
subµs,unit_of,pause times,Unit,Quantity
CCS,hasPlasmaSource,MD,Scientific Experiment,Plasma Source
µs,unit_of,electron density,Unit,Quantity
power supply,usedIn_ResearchActivity_investigates,diffusion,Diagnostic Device,Physical Effect
reaction chambers,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
vol,unit_of,time,Unit,Quantity
plasmadynamic converter,measures,low -voltage,Diagnostic Device,Quantity
high particle density,generatedBy_measures,diameter,Plasma Study,Quantity
positive polarity,hasUnit,m s,Quantity,Unit
two dimensional spectrally integrated DBD emission structures,usesDevice_Device_measures,DBD emission,Scientific Experiment,Quantity
gas gap distance,hasUnit,kHz,Quantity,Unit
current peak,hasUnit,μs,Quantity,Unit
electric discharge,measures,voltage,Plasma Source,Quantity
microwave generator,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
processing chamber,usedIn_ResearchActivity_investigates,conductive,Diagnostic Device,Physical Effect
simultaneous cathode and anode directed waves,hasUnit,μs,Quantity,Unit
microdischarges,measures,volume,Plasma Source,Quantity
cold plasma,hasApplicationField,treating the surface,Plasma Study,Application Field
hydrocarbon,hasApplicationField,plasma CVD,Plasma Study,Application Field
temporal resolution,hasPlasmaSource_generates,spatio temporal discharge development,Scientific Experiment,Plasma Study
wafer,usedIn_ResearchActivity_hasPlasmaSource,plasma discharge,Diagnostic Device,Plasma Source
high voltage,hasUnit,cm,Quantity,Unit
dielectric barrier discharges,uses,helium,Plasma Source,Medium
microdischarge,measures_hasUnit,nanosecond,Plasma Source,Unit
injector,measures,average speed,Diagnostic Device,Quantity
emission spectra,hasMedium,admixtures of oxygen,Scientific Experiment,Medium
ppm,unit_of,applied,Unit,Quantity
UV probe,usedToDiagnose_MaterialEntity_hasApplicationField,plasma -polymerized,Diagnostic Device,Application Field
townsend discharge,measures,pressure,Plasma Source,Quantity
kV pp,unit_of,intensity,Unit,Quantity
discharge dynamics,generatedBy_measures,reflexion coefficient,Plasma Study,Quantity
m s 1,unit_of,charge carrier densities,Unit,Quantity
microwave,measures,frequency,Plasma Source,Quantity
gap distances,hasUnit,mm,Quantity,Unit
apparatus,measures,diameters,Diagnostic Device,Quantity
charged particle accelerator,usedToDiagnose_MaterialEntity_hasApplicationField,storage,Diagnostic Device,Application Field
temporally integrated,hasPlasmaSource,APTD,Scientific Experiment,Plasma Source
laser photodetachment,usesDevice_Device_measures,time and space dependent photon density,Scientific Experiment,Quantity
focus ring,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
g kWh 1,unit_of,energetic yield of ozone,Unit,Quantity
gas mixture,used_in,RF and DC discharges,Medium,Plasma Source
laser photodesorption,investigates,laser photodesorption,Scientific Experiment,Physical Effect
evacuated chamber,usedIn_ResearchActivity_hasPlasmaSource,accelerators,Diagnostic Device,Plasma Source
cyclotron,measures,currents,Diagnostic Device,Quantity
emission spectra,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
microdischarge,measures,surface charge,Plasma Source,Quantity
process gas,used_in,electric discharge,Medium,Plasma Source
streak,usedIn_ResearchActivity_hasPlasmaSource,dielectric barrier discharges,Diagnostic Device,Plasma Source
water layer,used_in,DBDs,Medium,Plasma Source
compact,measures,size,Plasma Source,Quantity
laser beam,usesConfiguration,discharge gap,Scientific Experiment,Configuration
time scale,hasUnit,mm,Quantity,Unit
waveguide tube,measures,electric field energy,Diagnostic Device,Quantity
housing,measures,energy,Diagnostic Device,Quantity
accumulation on the chip,usesDevice_Device_measures,voltage current waveform,Scientific Experiment,Quantity
coil,measures,accelerating field,Diagnostic Device,Quantity
TDS 7054,measures_hasUnit,s,Diagnostic Device,Unit
first and second electrodes,measures,voltage,Plasma Source,Quantity
Control measurements,hasMedium,buffer gas He,Scientific Experiment,Medium
experimental results,usesDevice_Device_measures,CO 2 conversion frequency,Scientific Experiment,Quantity
atmospheric pressure glow like discharge,uses,atmospheric air,Plasma Source,Medium
water,used_in,plasma jet,Medium,Plasma Source
pulsed,generatedBy_measures,flow,Plasma Study,Quantity
photodetachment experiments,investigates,photodetachment,Scientific Experiment,Physical Effect
m 3,unit_of,E n,Unit,Quantity
W cm 3,unit_of,current amplitude,Unit,Quantity
-cyclotron,generatedBy_measures,magnetic field,Plasma Study,Quantity
positive polarity,hasUnit,s,Quantity,Unit
resolution,investigates,emission of electrons,Scientific Experiment,Physical Effect
iCCD images,hasPlasmaSource_generates,emission structure,Scientific Experiment,Plasma Study
LINAC,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
spatiotemporal evolution,generatedBy_measures,memory voltage,Plasma Study,Quantity
butterfly valve,hasMedium,gas pressure,Scientific Experiment,Medium
cavity chamber,measures,refractive index,Diagnostic Device,Quantity
processing chamber,measures,energy of the microwaves,Diagnostic Device,Quantity
chamber,usedIn_ResearchActivity_hasMedium,working gas,Diagnostic Device,Medium
cavity,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
turbopump system,hasMedium,specific gas mixture,Scientific Experiment,Medium
electrical and optical diagnostics,usesDevice_Device_measures,gas flow rate,Scientific Experiment,Quantity
accumulated surface charge,usesDevice_Device_measures,number density of electrons,Scientific Experiment,Quantity
burner,measures,heat,Diagnostic Device,Quantity
beam measuring units,usedIn_ResearchActivity_hasPlasmaSource,multistage linear acceleration,Diagnostic Device,Plasma Source
gas supply device,measures,magnetic field,Diagnostic Device,Quantity
DBD in,uses,atmospheric air,Plasma Source,Medium
power source,usedIn_ResearchActivity_hasMedium,He,Diagnostic Device,Medium
discharge chamber,usedIn_ResearchActivity_investigates,EUV radiation,Diagnostic Device,Physical Effect
time window,investigates,laser effects the discharge breakdown,Scientific Experiment,Physical Effect
cutting electrode,measures,ratio,Diagnostic Device,Quantity
DBD,measures,time scale,Plasma Source,Quantity
APGD,uses,pure nitrogen,Plasma Source,Medium
current probes,hasConfiguration,HV and grounded side,Diagnostic Device,Configuration
Quanta Ray GCR 130,measures,pulse duration,Diagnostic Device,Quantity
radius,hasUnit,m,Quantity,Unit
BD,measures_hasUnit,cm 2,Plasma Source,Unit
ns,unit_of,statistical distribution,Unit,Quantity
observed,usesDevice_Device_measures,discharge voltage,Scientific Experiment,Quantity
diffusion coefficient,hasUnit,lm,Quantity,Unit
streak camera,usedIn_ResearchActivity_investigates,discharge emission,Diagnostic Device,Physical Effect
voltage amplitude,hasUnit,μs,Quantity,Unit
discharge development,generatedBy_measures,gap voltage,Plasma Study,Quantity
burner,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
years,unit_of,pressures,Unit,Quantity
mean electron energy,hasUnit,eV,Quantity,Unit
cameras,measures,number density of microdischarges per cycle,Diagnostic Device,Quantity
electrical measurements,usesDevice_Device_measures,voltage amplitudes,Scientific Experiment,Quantity
m s,unit_of,velocities,Unit,Quantity
DBDs,uses,gas mixtures,Plasma Source,Medium
process chamber,measures,phase,Diagnostic Device,Quantity
streak camera imaging,investigates,laser photodesorption,Scientific Experiment,Physical Effect
µm,unit_of,diameter,Unit,Quantity
vol,unit_of,N 2 O concentration,Unit,Quantity
power,hasUnit,seconds,Quantity,Unit
accelerator,usedIn_ResearchActivity_investigates,-electromagnetic,Diagnostic Device,Physical Effect
device,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
current,hasUnit,pC,Quantity,Unit
laser photodesorption,usesDevice_Device_measures,secondary electron emission rates,Scientific Experiment,Quantity
He N 2 mixtures,used_in,barrier discharges,Medium,Plasma Source
s,unit_of,discharge current pulse,Unit,Quantity
fuel power,measures,field,Diagnostic Device,Quantity
ICCD images,usesDevice_Device_measures,width,Scientific Experiment,Quantity
MKS 1259 CC,usedIn_ResearchActivity_hasMedium,gas composition,Diagnostic Device,Medium
measured current,usesDevice_Device_measures,displacement current,Scientific Experiment,Quantity
apparatus,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
power supply,usedIn_ResearchActivity_hasPlasmaSource,RF oscillator,Diagnostic Device,Plasma Source
electron heating space chamber,measures,magnetic field strength,Diagnostic Device,Quantity
waveguide,measures,frequency,Diagnostic Device,Quantity
He N 2,used_in,BD,Medium,Plasma Source
kHz,unit_of,voltage amplitude,Unit,Quantity
devices,usedIn_ResearchActivity_hasPlasmaSource,low frequency,Diagnostic Device,Plasma Source
microdischarges,uses,argon,Plasma Source,Medium
cold plasma,generatedBy_measures,flow rate,Plasma Study,Quantity
laser,measures,number density of the detached electrons,Diagnostic Device,Quantity
ring,usedToDiagnose_MaterialEntity_hasApplicationField,storage,Diagnostic Device,Application Field
accelerating cavity,usedIn_ResearchActivity_hasPlasmaSource,electron beam,Diagnostic Device,Plasma Source
reactor,measures,applying RF power,Diagnostic Device,Quantity
diagnostics,hasPlasmaSource_generates,plasma properties,Scientific Experiment,Plasma Study
observed,hasPlasmaSource_generates,striated structures,Scientific Experiment,Plasma Study
chamber,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
processing chamber,usedIn_ResearchActivity_investigates,frequency,Diagnostic Device,Physical Effect
resistor,hasUnit,ns,Quantity,Unit
experimental conditions,investigates,electron impact collisions,Scientific Experiment,Physical Effect
laser beam profile,usesDevice_Device_measures,ion density,Scientific Experiment,Quantity
coil,measures,current,Diagnostic Device,Quantity
current probes,measures_hasUnit,s,Diagnostic Device,Unit
helicon wave plasma source,measures,plasma energy,Plasma Source,Quantity
non -thermal,uses,water,Plasma Source,Medium
inhomogeneity,generatedBy_measures,gas impurity M concentration,Plasma Study,Quantity
power supply,usedToDiagnose_MaterialEntity_hasApplicationField,deicing,Diagnostic Device,Application Field
capacitors,measures,current,Diagnostic Device,Quantity
streamer propagation velocities,hasUnit,vol,Quantity,Unit
gas supply,usesDevice_Device_measures,discharge volume,Scientific Experiment,Quantity
nozzle,measures,gas flow,Diagnostic Device,Quantity
measured,usesDevice_Device_measures,relative intensities,Scientific Experiment,Quantity
velocities,hasUnit,m s 1,Quantity,Unit
torus,usedIn_ResearchActivity_hasPlasmaSource,accelerators,Diagnostic Device,Plasma Source
electric field application system,usedToDiagnose_MaterialEntity_hasApplicationField,etching,Diagnostic Device,Application Field
microseconds,unit_of,electron density,Unit,Quantity
experiments,investigates,VUV,Scientific Experiment,Physical Effect
cm,unit_of,volume,Unit,Quantity
power plant,measures,low -voltage,Diagnostic Device,Quantity
reactor,measures,the electric field,Diagnostic Device,Quantity
flowing regime,hasMedium,pure helium,Scientific Experiment,Medium
frequency,hasUnit,s,Quantity,Unit
ion beam,measures,density,Plasma Source,Quantity
conductors,usedIn_ResearchActivity_investigates,electric field,Diagnostic Device,Physical Effect
vol,unit_of,power density,Unit,Quantity
DBDs,measures,atmospheric pressure,Plasma Source,Quantity
oscilloscope,measures,current,Diagnostic Device,Quantity
gas density,hasUnit,V cm 2,Quantity,Unit
tube,usedIn_ResearchActivity_hasPlasmaSource,laser sustained,Diagnostic Device,Plasma Source
energy efficiency,hasUnit,Hz,Quantity,Unit
generator,measures,charge,Diagnostic Device,Quantity
processor,usedIn_ResearchActivity_hasPlasmaSource,plasma generator,Diagnostic Device,Plasma Source
ground tube,measures,negative voltages,Diagnostic Device,Quantity
lifetimes,hasUnit,cm,Quantity,Unit
rare gases,used_in,APGD,Medium,Plasma Source
particle therapy system,measures,time,Diagnostic Device,Quantity
dense,hasApplicationField,generating EUV radiation,Plasma Study,Application Field
conduction current,hasUnit,amperes,Quantity,Unit
silent discharges,uses,gas mixture,Plasma Source,Medium
observed,investigates,discharge evolution,Scientific Experiment,Physical Effect
working gas,used_in,electrical,Medium,Plasma Source
CONTROLLED FUSION REACTOR,usedToDiagnose_MaterialEntity_hasApplicationField,CONTROLLED FUSION,Diagnostic Device,Application Field
accelerator,usedToDiagnose_MaterialEntity_hasApplicationField,storage,Diagnostic Device,Application Field
K,unit_of,electron temperature,Unit,Quantity
ns,unit_of,conductance,Unit,Quantity
gate width,hasPlasmaSource_generates,discharge morphology,Scientific Experiment,Plasma Study
electrical diagnostics,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
chamber,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
atmospheric pressure discharges,uses,air like gas mixtures,Plasma Source,Medium
neutron source,measures,area,Diagnostic Device,Quantity
wave guide,usedIn_ResearchActivity_investigates,HF radiation,Diagnostic Device,Physical Effect
supply unit,usedToDiagnose_MaterialEntity_hasApplicationField,film formation,Diagnostic Device,Application Field
mass spectrometry,measures_hasUnit,ppm,Diagnostic Device,Unit
accelerator,usedIn_ResearchActivity_investigates,electromagnetic,Diagnostic Device,Physical Effect
ns,unit_of,breakdown,Unit,Quantity
cleaning chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma cleaning,Diagnostic Device,Application Field
low -temperature,hasApplicationField,flame treatment,Plasma Study,Application Field
digital sampling oscilloscope,measures,current,Diagnostic Device,Quantity
virtually pure N 2,used_in,glow discharge,Medium,Plasma Source
MD channel,generatedBy_measures,electric field strength,Plasma Study,Quantity
MD development,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
discharge development,generatedBy_measures,space,Plasma Study,Quantity
gap width,hasUnit,cm 2,Quantity,Unit
iCCD images,usesDevice_Device_measures,diameter of the discharge channel,Scientific Experiment,Quantity
Bergoz CTF2 5,measures,voltage,Diagnostic Device,Quantity
laser induced fluorescence,usesDevice_Device_measures,time,Scientific Experiment,Quantity
surface wave plasma,generatedBy_measures,density distribution,Plasma Study,Quantity
generator,usedToDiagnose_MaterialEntity_hasApplicationField,oral treatment,Diagnostic Device,Application Field
discharge,uses,discharge gas,Plasma Source,Medium
focusing lenses,usedIn_ResearchActivity_hasPlasmaSource,multistage linear acceleration,Diagnostic Device,Plasma Source
Hz,unit_of,energy efficiency,Unit,Quantity
optical and electrical diagnostics,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
membrane,usedIn_ResearchActivity_investigates,ionization,Diagnostic Device,Physical Effect
precursor gas,used_in,inductively coupled plasma,Medium,Plasma Source
Tektronix CT 1,measures_hasUnit,GHz,Diagnostic Device,Unit
ions,used_in,DC,Medium,Plasma Source
gas tight cell,hasMedium,dry synthetic air,Scientific Experiment,Medium
spatio temporal DBD development i a,investigates,breakdown characteristics,Scientific Experiment,Physical Effect
residence times,hasUnit,mm,Quantity,Unit
discharge,hasUnit,mm,Quantity,Unit
neutral gas density,hasUnit,mm,Quantity,Unit
gas supply unit,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
time scale,hasUnit,nanosecond,Quantity,Unit
dark space,generatedBy_measures,electrical,Plasma Study,Quantity
temporal development,usesDevice_Device_measures,gap voltage,Scientific Experiment,Quantity
positively -biased deflection plates,measures,negative voltage,Diagnostic Device,Quantity
DBD,measures_hasUnit,kV,Plasma Source,Unit
discharge pulse,generatedBy_measures,gap voltage,Plasma Study,Quantity
cyclotron,usedIn_ResearchActivity_hasPlasmaSource,-high frequency,Diagnostic Device,Plasma Source
ns,unit_of,repetition rate,Unit,Quantity
s,unit_of,velocity,Unit,Quantity
iCCD single shots,usesDevice_Device_measures,current characteristics,Scientific Experiment,Quantity
discharge area,hasUnit,mm,Quantity,Unit
admixtures of O 2 or N 2 O,used_in,APTDs,Medium,Plasma Source
measurements,investigates,breakdown,Scientific Experiment,Physical Effect
breakdown voltage,hasUnit,cm,Quantity,Unit
experiments,usesDevice_Device_measures,gas flow rate,Scientific Experiment,Quantity
low pressure discharges,uses,neon,Plasma Source,Medium
vacuum pump,measures,plasma density,Diagnostic Device,Quantity
amperes,unit_of,conduction current,Unit,Quantity
magnetohydrodynamic converter,measures,electric power,Diagnostic Device,Quantity
laser beam,usesDevice_Device_measures,pulse energy,Scientific Experiment,Quantity
current voltage characteristics,generatedBy_measures,duty cycles,Plasma Study,Quantity
Electrical measurements,usesDevice_Device_measures,time dependent resistance,Scientific Experiment,Quantity
illuminated semiconducting barrier,investigates,memory effect,Scientific Experiment,Physical Effect
magnetic field generator,usedIn_ResearchActivity_hasMedium,gas,Diagnostic Device,Medium
nF,unit_of,applied voltage U,Unit,Quantity
effective ionization coefficient,hasUnit,Td,Quantity,Unit
probes,hasConfiguration,DBD arrangements,Diagnostic Device,Configuration
turbo pump,hasPlasmaSource,DBD arrangement,Scientific Experiment,Plasma Source
non -thermal,generatedBy_measures,field,Plasma Study,Quantity
power source,usedIn_ResearchActivity_hasPlasmaSource,low pressure,Diagnostic Device,Plasma Source
generator,usedIn_ResearchActivity_investigates,acceleration,Diagnostic Device,Physical Effect
open frame circuit assembly,measures,flow,Diagnostic Device,Quantity
µs,unit_of,current,Unit,Quantity
delay,hasUnit,vol,Quantity,Unit
single shot,usesDevice_Device_measures,O 2 concentrations,Scientific Experiment,Quantity
electrical,measures,potential,Plasma Source,Quantity
electrode,measures,flow,Diagnostic Device,Quantity
plasmadynamic converter,measures,heat,Diagnostic Device,Quantity
side on,usesDevice_Device_measures,volume,Scientific Experiment,Quantity
microwave leading -out portion,usedIn_ResearchActivity_investigates,electron cyclotron resonance,Diagnostic Device,Physical Effect
electrical data,hasMedium,O 2 admixture,Scientific Experiment,Medium
electronic equipment,usedToDiagnose_MaterialEntity_hasApplicationField,-destructively decontaminating sensitive surfaces,Diagnostic Device,Application Field
plasma generation apparatus,measures,discharge current,Diagnostic Device,Quantity
recordings of current and voltage,usesDevice_Device_measures,current,Scientific Experiment,Quantity
sccm,unit_of,volume,Unit,Quantity
custom build 50 Ω resistor,measures_hasUnit,GHz,Diagnostic Device,Unit
pulse duration,hasUnit,Hz,Quantity,Unit
oscilloscopes,measures,current waveforms,Diagnostic Device,Quantity
plasma arc,measures,temperature,Plasma Source,Quantity
controller,measures,voltage,Diagnostic Device,Quantity
distance,hasUnit,m s 1,Quantity,Unit
RF plasma jet,measures,electron density,Plasma Source,Quantity
space and time resolved high resolution recordings,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
mA,unit_of,capacity,Unit,Quantity
kV,unit_of,half period,Unit,Quantity
synchrocyclotron,usedIn_ResearchActivity_investigates,superconducting,Diagnostic Device,Physical Effect
plasmadynamic converter,usedIn_ResearchActivity_investigates,hydration,Diagnostic Device,Physical Effect
streak images,hasPlasmaSource,microdischarges,Scientific Experiment,Plasma Source
energy,hasUnit,kHz,Quantity,Unit
ion density,hasUnit,milliseconds,Quantity,Unit
condenser,usedIn_ResearchActivity_investigates,oscillation,Diagnostic Device,Physical Effect
ppm,unit_of,current density,Unit,Quantity
atmospheric pressure,hasApplicationField,flow control,Plasma Study,Application Field
processing chamber,usedIn_ResearchActivity_hasMedium,reactive gas,Diagnostic Device,Medium
OES,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
linear accelerator,measures,energies,Diagnostic Device,Quantity
time integration,usesDevice_Device_measures,capacitances,Scientific Experiment,Quantity
particle source,measures,thicknesses,Diagnostic Device,Quantity
swirler (,usedIn_ResearchActivity_hasPlasmaSource,nozzle,Diagnostic Device,Plasma Source
discharge channel,generatedBy_measures,period,Plasma Study,Quantity
mm 2,unit_of,area,Unit,Quantity
plasma processing device,usedToDiagnose_MaterialEntity_hasApplicationField,sputtering,Diagnostic Device,Application Field
Faraday,generatedBy_measures,electrical,Plasma Study,Quantity
power supply,measures,current,Diagnostic Device,Quantity
DBD,measures,conduction,Plasma Source,Quantity
radiofrequency,measures,high energy,Plasma Source,Quantity
quasi periodic,generatedBy_measures,surface charges,Plasma Study,Quantity
1µs,unit_of,gap voltage,Unit,Quantity
conductors,measures,electrical field,Diagnostic Device,Quantity
DBDs,measures_hasUnit,ns pulsed,Plasma Source,Unit
impedance,generatedBy_measures,power output,Plasma Study,Quantity
nm,unit_of,frequency,Unit,Quantity
positive column,generatedBy_measures,negative surface charge,Plasma Study,Quantity
spatiotemporal discharge,investigates,emission development,Scientific Experiment,Physical Effect
excitation energies,hasUnit,eV,Quantity,Unit
CCS instrument,measures_hasUnit,min,Diagnostic Device,Unit
discharge mode,measures,length,Plasma Source,Quantity
plasma generation device,usedIn_ResearchActivity_hasPlasmaSource,ground electrode,Diagnostic Device,Plasma Source
nanosecond,unit_of,emission maximum,Unit,Quantity
cavity,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
nozzle,measures,power,Diagnostic Device,Quantity
apparatus,usedIn_ResearchActivity_hasMedium,low pressure,Diagnostic Device,Medium
electronvolts,unit_of,pressure,Unit,Quantity
laser photodetachment experiments,usesDevice_Device_measures,negative ion density,Scientific Experiment,Quantity
direct current,measures,direct current,Plasma Source,Quantity
admixtures of oxygen,used_in,barrier discharges,Medium,Plasma Source
impedance characterization,usesConfiguration,parasitic electrical elements,Scientific Experiment,Configuration
electrical characteristics,hasMedium,helium with 10 vol nitrogen,Scientific Experiment,Medium
plasma chamber,usedIn_ResearchActivity_investigates,plasma ignition,Diagnostic Device,Physical Effect
first electrode,measures,flow,Plasma Source,Quantity
streamer propagation velocities,hasUnit,bar,Quantity,Unit
Experimental details,usesDevice_Device_measures,velocities,Scientific Experiment,Quantity
high sensitivity,usesDevice_Device_measures,bandwidth,Scientific Experiment,Quantity
drift tube,measures,electric field,Diagnostic Device,Quantity
DPO,measures,current,Diagnostic Device,Quantity
flowing regime,hasMedium,oxygen,Scientific Experiment,Medium
barrier discharges,measures,volume,Plasma Source,Quantity
Q V plot,investigates,breakdown,Scientific Experiment,Physical Effect
