TOKEN	DiagnosticDevice	DischargeRegime	ElectrodeConfiguration	ElectrodeMaterial	Experiment	Modelling	PhysicalEffect	PhysicalQuantity	PlasmaApplication	PlasmaMedium	PlasmaProperties	PlasmaSource	PlasmaTarget	Unit	PowerSupply	Species
attributed	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
arrival	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
at	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
cathode	B-DiagnosticDevice	O	B-ElectrodeConfiguration	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
caused	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
displacement	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
current	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
due	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
reconfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electric	O	O	O	O	O	O	O	B-PhysicalQuantity	O	B-PlasmaMedium	O	O	O	O	O	O
field.	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O

It	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
should	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
noted	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
this	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
feature	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
(local	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
current	O	O	O	O	I-Experiment	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
maximum)	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
result	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
continuous	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
process	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
balancing	O	O	O	O	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
electron	O	O	O	O	O	I-Modelling	O	O	B-PlasmaApplication	O	O	O	O	O	O	B-Species
production	O	O	O	O	O	I-Modelling	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	I-Modelling	O	O	O	O	O	O	O	O	O	O
losses	O	O	O	O	O	I-Modelling	O	O	O	O	O	O	O	O	O	O
(see	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
below),	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
which	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
leads	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
slowing	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
down	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
eventual	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
stopping	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
propagation.	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O

In	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(c)	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
it	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
can	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
seen	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
time	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
t	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
1	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
thin	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
gap	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
about	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
40	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
μm	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
small	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electron	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	B-PlasmaProperties	O	O	O	O	B-Species
density	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
formed	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
head	O	O	I-ElectrodeConfiguration	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
dielectric	O	O	B-ElectrodeConfiguration	B-ElectrodeMaterial	O	B-Modelling	O	O	O	O	O	O	O	O	O	O
boundary.	O	O	I-ElectrodeConfiguration	I-ElectrodeMaterial	O	I-Modelling	O	O	O	O	O	O	O	O	O	O

In	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
time	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
range	O	O	O	O	I-Experiment	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
t	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
1	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
-t	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
2	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
volume	O	B-DischargeRegime	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
streamer	O	I-DischargeRegime	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
deflected	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
continues	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
propagating	O	O	O	O	O	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
along	O	O	O	O	O	O	O	O	I-PlasmaApplication	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
(cf	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(d)).	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

At	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
same	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
time,	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ion-induced	O	O	O	O	O	O	B-PhysicalEffect	O	B-PlasmaApplication	B-PlasmaMedium	B-PlasmaProperties	O	O	O	O	O
emission	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
secondary	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	B-Species
electrons	O	O	O	O	O	O	I-PhysicalEffect	O	O	B-PlasmaMedium	O	O	O	O	O	I-Species
causes	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
secondary	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
breakdown	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
gap	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
head	O	O	I-ElectrodeConfiguration	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
acting	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
virtual	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
anode	B-DiagnosticDevice	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
dielectric	O	O	B-ElectrodeConfiguration	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	O	O	O	O
cathode.	B-DiagnosticDevice	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	O	O	O	O	O	O

With	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
this,	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	B-PlasmaTarget	O	O	O
charges	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
start	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
accumulate	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
dielectric	O	O	B-ElectrodeConfiguration	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
surface	O	O	I-ElectrodeConfiguration	I-ElectrodeMaterial	O	O	O	O	O	O	O	O	I-PlasmaTarget	O	O	O
(cf	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(b)),	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
which	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
accompanied	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
steep	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B-PowerSupply	O
increase	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
memory	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
voltage	O	O	O	O	I-Experiment	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
corresponding	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
drop	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
gap	O	O	O	O	O	O	I-PhysicalEffect	B-PhysicalQuantity	O	O	O	O	O	O	O	O
voltage	O	O	O	O	O	O	I-PhysicalEffect	I-PhysicalQuantity	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
well	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
further	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
rise	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electric	O	O	O	O	O	O	O	B-PhysicalQuantity	O	B-PlasmaMedium	O	B-PlasmaSource	O	O	O	O
current	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	I-PlasmaSource	O	O	O	O
(cf	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(a)).	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

In	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
time	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
range	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
t	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
2	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
-t	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
4	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	B-DischargeRegime	O	O	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
discharge	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
starts	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
propagate	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
gap	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
radially	O	O	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
propagating	O	O	I-ElectrodeConfiguration	O	O	O	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
volume	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
dielectric	O	O	B-ElectrodeConfiguration	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
surface	O	O	I-ElectrodeConfiguration	I-ElectrodeMaterial	O	O	O	O	O	O	O	O	I-PlasmaTarget	O	O	O
(cf	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figures	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(d)-(f	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
)).	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

Note	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
double-layer	O	O	B-ElectrodeConfiguration	O	O	O	O	O	O	O	B-PlasmaProperties	O	O	O	O	O
structure	O	O	O	O	O	O	O	O	O	O	I-PlasmaProperties	O	O	O	O	O
caused	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
deflected	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
volume	O	B-DischargeRegime	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
streamer	O	I-DischargeRegime	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
secondary	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharge	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
sheath	O	O	B-ElectrodeConfiguration	O	O	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
region	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
shows	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
similarities	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
observation	O	O	O	O	B-Experiment	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
Sharma	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
et	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
al	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
[27]	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
for	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
DBD	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
argon,	O	O	O	O	O	O	O	O	O	B-PlasmaMedium	O	O	O	O	O	B-Species
where	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
splitting	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	B-DischargeRegime	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	B-PlasmaTarget	O	O	O
streamer	O	I-DischargeRegime	O	O	O	O	I-PhysicalEffect	O	O	O	O	O	O	O	O	O
into	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaTarget	O	O	O
branch	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
volume	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
branch	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
results	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
similar	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
structure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
near	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
dielectric	O	O	B-ElectrodeConfiguration	B-ElectrodeMaterial	O	O	O	O	O	O	O	O	O	O	O	O
surface.	O	O	I-ElectrodeConfiguration	I-ElectrodeMaterial	O	O	O	O	O	O	O	O	I-PlasmaTarget	O	O	O

With	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ongoing	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
coverage	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	B-PlasmaProperties	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
surface	O	B-DischargeRegime	O	O	O	O	O	O	O	O	B-PlasmaProperties	O	B-PlasmaTarget	O	O	O
by	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
discharge,	O	O	O	O	O	O	O	O	O	O	O	B-PlasmaSource	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
accumulated	O	O	O	O	O	O	B-PhysicalEffect	B-PhysicalQuantity	O	O	O	O	O	O	O	O
surface	O	O	O	O	O	O	I-PhysicalEffect	I-PhysicalQuantity	O	O	O	O	B-PlasmaTarget	O	O	O
charge	O	O	O	O	O	O	I-PhysicalEffect	I-PhysicalQuantity	O	O	O	O	O	O	O	O
increases	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
further.	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

This	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
finally	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
leads	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
drop	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
electric	O	O	O	O	O	O	O	B-PhysicalQuantity	O	B-PlasmaMedium	O	O	O	O	O	O
field	O	O	O	O	O	O	O	I-PhysicalQuantity	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
initiation	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
decay	O	B-DischargeRegime	O	O	O	O	O	O	B-PlasmaApplication	O	O	O	O	O	O	O
phase	O	I-DischargeRegime	O	O	O	O	O	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
described,	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
e.g.	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

in	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
[18].	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

The	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
maximum	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
current	O	O	O	O	O	O	O	B-PhysicalQuantity	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
reached	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
about	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
70	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ns	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
after	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	B-PlasmaApplication	O	O	O	O	O	O	O
initiation	O	O	O	O	O	O	I-PhysicalEffect	O	I-PlasmaApplication	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
42	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
ns	O	O	O	O	O	O	O	O	O	O	O	O	O	B-Unit	O	O
after	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
arrival	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
streamer	O	O	O	O	O	O	B-PhysicalEffect	O	O	O	O	O	O	O	O	O
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
cathode	B-DiagnosticDevice	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
(cf	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
figure	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
3(a)).	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O

When	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
looking	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
at	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
spatial	O	O	O	O	O	B-Modelling	O	B-PhysicalQuantity	O	O	B-PlasmaProperties	O	O	O	O	O
profiles	O	O	O	O	O	I-Modelling	O	I-PhysicalQuantity	O	O	I-PlasmaProperties	O	O	O	O	O
